SHA-256 | current path | origin

095f8cf035cbb9fe07d34c39e00ffab306e6e7655c25ab2a978e3bdccd9c0e89 | Header/NoLib/Complex/ComplexArithmetic.hpp | Include/NoLib/Complex/ComplexArithmetic.hpp (unchanged)
20970cdcd064f3d261c44d11348a98deb3a34ab19f81f21c65ff99f8ec1478f3 | Header/NoLib/Complex/ComplexElementary.hpp | Include/NoLib/Complex/ComplexElementary.hpp (unchanged)
671fe66a2eef7daff3fc1f1ddc73dc866fa127629ed5718b663916c08f1e2f1b | Header/NoLib/Complex/ComplexFormatting.hpp | Include/NoLib/Complex/ComplexFormatting.hpp (unchanged)
2e780ab67e07465c2f960c34d5f44bdcbc3df0b80db4ef0ab4e44af33f0788eb | Header/NoLib/Complex/ComplexNumber.hpp | Include/NoLib/Complex/ComplexNumber.hpp (unchanged)
61bd9e9b1d6f7f4b462e08ac5dcca5c73e83b810757c74fc28555fa21e3f7dc0 | Header/NoLib/Core/CheckedInteger.hpp | Include/NoLib/Core/CheckedInteger.hpp (unchanged)
fad0ece84473738db9a8e013e9e14b6a11cf13588f2486aa9f8056d7c0a0af73 | Header/NoLib/Core/RealTraits.hpp | Include/NoLib/Core/RealTraits.hpp (unchanged)
f517b5573992d5e89752cbffc1776aed3e17c3f8eb3248c602815a45fcbbb264 | Header/NoLib/Core/Types.hpp | Include/NoLib/Core/Types.hpp (unchanged)
7b058b71d869c0ca1d3f6ee410f05866e7f928fa3ee7c324ed13bedd35faa6ba | Header/NoLib/Core/Utility.hpp | Include/NoLib/Core/Utility.hpp (unchanged)
d1a9f8cfac7ec49851da72c902b633b7862ce2a740a0b335054e3b4cdb9a5c40 | Header/NoLib/Numerical/Differentiation.hpp | Include/NoLib/Numerical/Differentiation.hpp (unchanged)
1be51a80b00c77052c6a5edca07b649ff66284710b774aa3f110a1c77e3ff7f1 | Header/NoLib/Numerical/Ode.hpp | Include/NoLib/Numerical/Ode.hpp (unchanged)
25f1e4381c9e9b900ade9fde37a7b0f7255afad79176df81d0879b3e706fb99b | Header/NoLib/Numerical/Quadrature.hpp | Include/NoLib/Numerical/Quadrature.hpp (unchanged)
bbea76082a3fcede79b924a5d9efc15a413455c6dc88ef4626b074c49afdff2d | Header/NoLib/Polynomial/Polynomial.hpp | Include/NoLib/Polynomial/Polynomial.hpp (unchanged)
59efcf9f30a47ca9417578bc58c2f6fa725b22ba7174004d08ea63d17d043d15 | Header/NoLib/Polynomial/PolynomialArithmetic.hpp | Include/NoLib/Polynomial/PolynomialArithmetic.hpp (unchanged)
f6a79b833158af6a77a832960f45a6ff364f225ac9fc3e24f6013a2fa5ff7f17 | Header/NoLib/Polynomial/PolynomialCalculus.hpp | Include/NoLib/Polynomial/PolynomialCalculus.hpp (unchanged)
7682bfca584a47642d03a343c5d086e2b45dc6db74892fccbb1ffa1eedd27e78 | Header/NoLib/Polynomial/PolynomialRoots.hpp | Include/NoLib/Polynomial/PolynomialRoots.hpp (unchanged)
c4c992ac10175f2725b5820b28735e6db5d8b0f133041cb60d274cf4af983e00 | Header/NoLib/Scalar/Constants.hpp | Include/NoLib/Scalar/Constants.hpp (unchanged)
3a8067173edff7d848cb89fcacff33589b15c3c1bd9dc119fa6781dc3072a1df | Header/NoLib/Scalar/Exponential.hpp | Include/NoLib/Scalar/Exponential.hpp (unchanged)
131bb3fe0c47431627bbeda52627ebbde3689bbbf452440dbb59bbd7db14d29b | Header/NoLib/Scalar/Logarithm.hpp | Include/NoLib/Scalar/Logarithm.hpp (unchanged)
aa80bdd1400e5c215c5f751718c61d052ce19c2d9b9c45ebf9067905c412d2f2 | Header/NoLib/Scalar/Powers.hpp | Include/NoLib/Scalar/Powers.hpp (unchanged)
483f0b4628cd814932f65ee256d56151add68629efdf7b940b55d4ddf849d0cb | Header/NoLib/Scalar/ScientificNumber.hpp | Include/NoLib/Scalar/ScientificNumber.hpp (unchanged)
